,player_id,hand,year_of_birth,ioc,height,wikidata_id,player_name
1458,201457,R,1987,AUS,174.0,Q232535,Jarmila Gajdosova
1459,201458,R,1989,BLR,180.0,Q10118,Victoria Azarenka
1460,201459,R,1984,CHN,171.0,Q233221,Zi Yan
1461,201460,U,1986,CHN,,Q2014179,Meng Yuan
1462,201461,L,1981,FRA,,Q2296592,Aurelie Vedy
1463,201462,R,1980,ITA,165.0,Q232559,Alberta Brianti
1464,201463,R,1980,ROU,170.0,,Anda Perianu
1465,201464,U,1982,ITA,,,Nathalie Vierin
1466,201465,R,1986,BEL,165.0,Q211599,Kirsten Flipkens
1467,201466,R,1985,EST,181.0,Q211428,Kaia Kanepi
1468,201467,R,1983,CRO,175.0,Q3736152,Ivana Abramovic
1469,201468,R,1987,KAZ,180.0,Q229073,Yaroslava Shvedova
1470,201469,R,1986,GBR,175.0,Q1092801,Melanie South
1471,201470,R,1981,GER,183.0,Q57935,Kristina Barrois
1472,201471,L,1989,GBR,170.0,Q240030,Naomi Cavaday
1473,201472,R,1986,SUI,172.0,Q239620,Romina Oprandi
1474,201473,R,1987,RUS,,Q2332762,Vasilisa Bardina
1475,201474,R,1989,POL,170.0,Q207352,Agnieszka Radwanska
1476,201475,R,1985,USA,172.0,Q552578,Ahsha Rolle
1477,201476,R,1989,USA,,Q53322,Lauren Albanese
1478,201477,R,1986,CAN,162.0,Q239634,Stephanie Dubois
1479,201478,L,1986,USA,180.0,Q54532,Varvara Lepchenko
1480,201479,R,1987,RUS,180.0,Q241776,Olga Puchkova
1481,201480,R,1980,RUS,,Q4421310,Lioudmila Skavronskaia
1482,201481,R,1990,AUT,165.0,Q230231,Tamira Paszek
1483,201482,R,1986,SLO,,Q258290,Andreja Klepac
1484,201483,R,1990,USA,168.0,Q53336,Madison Brengle
1485,201484,U,1985,CZE,,Q264474,Sandra Zahlavova
1486,201485,R,1987,RUS,178.0,Q653709,Alla Kudryavtseva
1487,201486,R,1987,CAN,175.0,Q232626,Aleksandra Wozniak
1488,201487,R,1990,AUS,167.0,Q272011,Jessica Moore
1489,201488,R,1982,ARG,163.0,Q440880,Jorgelina Cravero
