,player_id,hand,year_of_birth,ioc,height,wikidata_id,player_name
3928,103929,R,1982,GER,188.0,Q62588,Philipp Marx
3929,103930,R,1982,USA,196.0,,Alberto Francis
3930,103931,U,1982,GER,,,Andreas Spaniol
3931,103932,L,1982,GER,,,Mario Eckardt
3932,103933,U,1982,ESP,,,Victor Sanchez Gil
3933,103934,L,1982,SRB,,,Aleksander Slovic
3934,103935,R,1982,AUT,,,Alexander Brudermann
3935,103936,R,1982,BUL,,Q3658549,Todor Enev
3936,103937,U,1982,GEO,,,Irakli Ushangishvili
3937,103938,R,1982,SVK,198.0,Q1355441,Igor Zelenay
3938,103939,U,1982,GBR,,Q55081584,Neil Bamford
3939,103940,R,1982,ESP,,,Miguel Olaso De La Rica
3940,103941,R,1982,RUS,,,Sergei Pozdnev
3941,103942,R,1982,GBR,,Q55614887,James Nelson
3942,103943,R,1982,BRA,,,Vinicius Bortolatto
3943,103944,U,1982,ESP,,,Gabriel Frias
3944,103945,R,1982,GBR,,Q101214681,Simon Dickson
3945,103946,R,1982,BRA,180.0,Q286185,Bruno Soares
3946,103947,U,1982,ESP,,,Ivan Esquerdo
3947,103948,R,1982,GER,,Q6795694,Maximilian Abel
3948,103949,L,1982,CRO,190.0,Q22958747,Ivan Cerovic
3949,103950,U,1982,POL,,,Marcin Golab
3950,103951,U,1982,IND,,,Ravishankar Pathanjali
3951,103952,R,1982,USA,,,Troy Hahn
