,winner_name,w_ace,w_1stIn,w_df,w_1stWon,w_bpFaced,winner_rank,winner_id,year
230,Barbara Schett,5.0,43.0,6.0,31.0,10.0,97.0,1,2005
231,Tian Tian Sun,,,,,,99.0,1,2005
232,Amelie Mauresmo,2.5,39.92307692307692,2.769230769230769,27.73076923076923,6.153846153846154,1.0,32,2006
233,Kim Clijsters,2.0,42.1,2.7,29.1,6.8,1.0,26,2006
234,Lindsay Davenport,4.461538461538462,37.53846153846154,2.6923076923076925,26.0,4.461538461538462,1.0,21,2006
235,Maria Sharapova,4.558139534883721,41.25581395348837,3.4651162790697674,29.13953488372093,5.232558139534884,2.0,45,2006
236,Justine Henin,2.04,35.12,4.52,24.48,5.0,2.0,35,2006
237,Svetlana Kuznetsova,4.0,40.58620689655172,2.0689655172413794,28.17241379310345,5.137931034482759,4.0,38,2006
238,Mary Pierce,2.5,43.0,1.8333333333333333,31.666666666666668,5.333333333333333,5.0,6,2006
239,Elena Dementieva,0.8888888888888888,41.833333333333336,9.666666666666666,26.5,9.0,5.0,24,2006
240,Nadia Petrova,5.578947368421052,36.63157894736842,1.8421052631578947,27.105263157894736,4.157894736842105,5.0,28,2006
241,Martina Hingis,1.4736842105263157,41.21052631578947,2.736842105263158,27.105263157894736,5.7368421052631575,7.0,26,2006
242,Patty Schnyder,3.6315789473684212,44.1578947368421,1.8421052631578947,30.210526315789473,7.315789473684211,7.0,30,2006
243,Nicole Vaidisova,8.166666666666666,41.0,3.4166666666666665,30.25,5.416666666666667,9.0,18,2006
244,Dinara Safina,3.3636363636363638,39.63636363636363,4.545454545454546,28.0,4.454545454545454,10.0,21,2006
245,Anastasia Myskina,1.0,45.625,3.75,28.625,7.625,11.0,13,2006
246,Francesca Schiavone,3.7142857142857144,34.5,3.142857142857143,25.571428571428573,5.142857142857143,11.0,21,2006
247,Jelena Jankovic,2.9473684210526314,52.63157894736842,3.9473684210526314,35.63157894736842,7.2631578947368425,12.0,31,2006
248,Anna Chakvetadze,3.8461538461538463,43.53846153846154,3.0,29.384615384615383,6.769230769230769,13.0,23,2006
249,Daniela Hantuchova,3.6666666666666665,46.44444444444444,2.6666666666666665,32.666666666666664,6.388888888888889,14.0,28,2006
250,Ana Ivanovic,4.277777777777778,36.388888888888886,3.111111111111111,25.88888888888889,5.055555555555555,14.0,26,2006
251,Serena Williams,6.25,36.75,3.5,28.75,5.0,15.0,5,2006
252,Elena Likhovtseva,1.6666666666666667,56.333333333333336,2.6666666666666665,31.333333333333332,8.333333333333334,16.0,6,2006
253,Anna Lena Groenefeld,4.125,39.0,4.0,27.125,7.25,16.0,10,2006
254,Flavia Pennetta,3.8,31.4,2.0,21.4,4.2,17.0,10,2006
255,Ai Sugiyama,1.0769230769230769,55.0,3.3076923076923075,33.92307692307692,9.0,19.0,24,2006
256,Marion Bartoli,1.4615384615384615,39.76923076923077,2.0,26.923076923076923,5.3076923076923075,19.0,37,2006
257,Na Li,2.625,44.125,1.75,27.375,6.375,20.0,22,2006
258,Shahar Peer,1.1666666666666667,47.583333333333336,4.083333333333333,30.416666666666668,7.833333333333333,21.0,22,2006
259,Tatiana Golovin,2.6363636363636362,49.81818181818182,2.1818181818181817,34.0,6.090909090909091,21.0,21,2006
260,Katarina Srebotnik,3.5714285714285716,40.642857142857146,1.5714285714285714,29.857142857142858,5.071428571428571,22.0,19,2006
