,loser_name,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,loser_id,year
230,Vera Zvonareva,1.0,21.0,1.5,12.0,5.5,44.0,2,2006
231,Sybille Bammer,0.0,49.0,4.0,29.0,11.0,47.0,1,2006
232,Iveta Benesova,,,,,,48.0,2,2006
233,Lourdes Dominguez Lino,,,,,,48.0,1,2006
234,Samantha Stosur,8.5,45.0,2.5,31.0,4.5,50.0,2,2006
235,Emilie Loit,4.0,58.0,3.0,35.0,9.0,51.0,1,2006
236,Eleni Daniilidou,0.0,47.5,5.5,27.0,6.0,52.0,3,2006
237,Jelena Kostanic Tosic,0.0,57.0,1.0,27.0,9.0,52.0,2,2006
238,Laura Granville,3.0,38.5,2.0,24.0,9.5,53.0,3,2006
239,Alona Bondarenko,1.0,68.5,2.0,40.5,11.5,54.0,3,2006
240,Anastasia Yakimova,1.0,44.0,3.0,24.0,8.0,55.0,1,2006
241,Aiko Nakamura,1.0,43.0,4.0,27.0,7.0,56.0,2,2006
242,Maria Elena Camerin,1.0,46.0,3.0,30.0,8.0,56.0,2,2006
243,Jamea Jackson,1.0,67.0,3.0,38.5,7.5,58.0,2,2006
244,Julia Schruff,0.5,51.5,2.0,33.0,9.5,59.0,3,2006
245,Akiko Morigami,1.0,36.0,3.0,18.0,9.5,60.0,3,2006
246,Martina Sucha,1.5,33.5,2.5,18.0,10.0,61.0,2,2006
247,Elena Vesnina,1.0,51.5,5.0,33.0,10.5,61.0,3,2006
248,Shenay Perry,4.0,43.5,4.0,23.5,12.0,62.0,3,2006
249,Emma Laine,1.0,40.0,4.5,25.0,8.5,64.0,2,2006
250,Vera Dushevina,0.5,38.0,3.0,22.5,8.5,65.0,2,2006
251,Marta Domachowska,7.0,72.0,5.0,52.0,7.0,66.0,2,2006
252,Tathiana Garbin,1.0,32.0,3.0,15.0,12.0,68.0,1,2006
253,Karolina Sprem,3.0,38.0,4.0,29.0,9.0,69.0,1,2006
254,Kaia Kanepi,3.0,34.0,2.0,20.0,12.0,70.0,1,2006
255,Maret Ani,4.0,40.0,6.0,27.0,6.0,71.0,2,2006
256,Meghann Shaughnessy,6.0,87.0,14.0,51.0,21.0,73.0,1,2006
257,Martina Muller,0.0,38.0,1.0,17.0,14.0,74.0,1,2006
258,Maria Sanchez Lorenzo,2.0,53.0,3.0,33.0,15.0,75.0,1,2006
259,Ashley Harkleroad,1.0,37.0,5.0,23.0,9.0,76.0,1,2006
260,Melinda Czink,3.0,69.0,4.0,48.0,12.0,76.0,2,2006
261,Yuliana Fedak,0.0,37.0,2.0,16.0,9.0,78.0,1,2006
262,Zi Yan,0.5,43.5,3.0,22.5,11.5,79.0,2,2006
263,Amy Frazier,1.0,34.0,10.0,21.0,11.0,80.0,1,2006
264,Ekaterina Bychkova,3.0,21.0,2.0,12.0,7.0,81.0,1,2006
265,Romina Oprandi,1.0,25.0,5.0,17.0,6.0,82.0,1,2006
266,Lisa Raymond,2.3333333333333335,48.333333333333336,4.333333333333333,34.333333333333336,7.0,82.0,3,2006
267,Tsvetana Pironkova,2.0,44.0,4.0,28.0,8.0,83.0,2,2006
268,Virginie Razzano,2.0,70.0,6.0,40.0,15.0,83.0,2,2006
269,Stephanie Foretz Gacon,1.0,39.5,3.0,21.5,11.0,84.0,2,2006
270,Jarmila Gajdosova,,,,,,86.0,3,2006
271,Hana Sromova,,,,,,87.0,1,2006
272,Vania King,,,,,,88.0,1,2006
273,Julia Vakulenko,1.0,9.0,3.0,5.0,2.0,90.0,1,2006
274,Virginia Ruano Pascual,1.0,55.0,2.0,31.0,10.0,91.0,2,2006
275,Conchita Martinez Granados,0.0,59.0,3.0,40.0,12.0,92.0,1,2006
276,Mariana Diaz Oliva,2.0,72.0,7.0,46.0,11.0,93.0,2,2006
277,Meng Yuan,0.0,24.0,2.0,9.0,8.0,93.0,2,2006
278,Laura Pous Tio,1.0,31.0,4.0,15.0,10.0,94.0,1,2006
279,Ivana Lisjak,3.0,33.0,6.0,20.0,8.0,95.0,1,2006
280,Antonella Serra Zanetti,0.0,77.0,7.0,40.0,11.0,96.0,2,2006
281,Viktoria Kutuzova,0.0,52.0,3.0,31.0,14.0,96.0,2,2006
282,Camille Pin,0.0,51.0,1.0,20.0,16.0,97.0,1,2006
283,Mashona Washington,1.0,25.0,6.0,16.0,6.0,99.0,1,2006
284,Tian Tian Sun,0.0,38.0,2.0,17.0,11.0,100.0,1,2006
285,Justine Henin,0.0,17.0,2.0,13.0,0.0,1.0,1,2007
286,Maria Sharapova,6.0,53.0,6.5,30.0,14.0,2.0,2,2007
287,Jelena Jankovic,2.0,62.5,3.5,38.0,11.5,3.0,2,2007
288,Amelie Mauresmo,10.0,62.5,10.0,40.0,10.5,4.0,2,2007
289,Svetlana Kuznetsova,2.0,42.0,2.0,25.0,11.0,5.0,1,2007
290,Ana Ivanovic,1.5,28.5,5.0,17.5,10.0,6.0,2,2007
291,Anna Chakvetadze,8.0,74.0,7.0,50.0,9.0,7.0,1,2007
292,Serena Williams,8.0,49.0,0.0,33.0,7.0,8.0,1,2007
293,Nadia Petrova,1.5,33.5,3.0,19.5,9.5,9.0,2,2007
294,Daniela Hantuchova,6.0,52.0,4.333333333333333,33.333333333333336,7.333333333333333,10.0,3,2007
295,Nicole Vaidisova,3.5,50.0,5.5,29.5,11.0,10.0,2,2007
296,Martina Hingis,1.0,35.0,3.0,25.0,5.0,11.0,1,2007
297,Elena Dementieva,0.5,42.0,7.0,21.5,13.0,12.0,2,2007
298,Dinara Safina,5.5,58.5,5.5,34.5,11.0,13.0,2,2007
299,Patty Schnyder,3.0,41.0,7.0,23.0,13.0,15.0,1,2007
300,Shahar Peer,2.0,45.0,1.0,23.0,7.5,16.0,2,2007
301,Tatiana Golovin,1.0,45.0,4.0,24.0,8.0,17.0,1,2007
302,Na Li,3.0,54.0,5.0,33.0,13.0,18.0,1,2007
303,Marion Bartoli,0.3333333333333333,37.666666666666664,5.0,21.666666666666668,8.333333333333334,19.0,3,2007
304,Sybille Bammer,2.0,52.5,2.0,31.0,9.0,21.0,2,2007
305,Katarina Srebotnik,5.0,59.0,3.0,43.0,8.0,21.0,2,2007
306,Tathiana Garbin,2.0,35.5,5.0,17.5,10.0,23.0,2,2007
307,Anabel Medina Garrigues,2.5,52.5,1.5,34.0,7.5,24.0,2,2007
308,Alona Bondarenko,0.3333333333333333,54.666666666666664,1.6666666666666667,28.333333333333332,13.333333333333334,24.0,3,2007
309,Lucie Safarova,3.0,62.0,6.0,43.0,8.5,25.0,2,2007
