,winner_name,w_ace,w_1stIn,w_df,w_1stWon,w_bpFaced,winner_rank,winner_id,year
232,Vera Dushevina,0.3333333333333333,53.333333333333336,4.0,34.333333333333336,7.666666666666667,41.0,5,2006
233,Anna Smashnova,0.3333333333333333,79.66666666666667,7.0,45.666666666666664,13.0,41.0,12,2006
234,Lourdes Dominguez Lino,,,,,,43.0,15,2006
235,Emilie Loit,1.6666666666666667,39.0,2.6666666666666665,23.0,7.333333333333333,47.0,13,2006
236,Kveta Peschke,1.0,44.0,3.0,28.0,7.0,48.0,1,2006
237,Samantha Stosur,2.5,49.0,1.0,30.5,6.0,50.0,6,2006
238,Shuai Peng,2.0,42.0,,30.0,2.0,51.0,9,2006
239,Roberta Vinci,6.0,20.0,4.0,17.0,7.0,52.0,4,2006
240,Sybille Bammer,0.5,59.0,1.5,36.0,11.0,53.0,3,2006
241,Aiko Nakamura,2.0,55.0,2.0,35.0,11.0,55.0,2,2006
242,Anastasia Yakimova,,,,,,57.0,6,2006
243,Julia Schruff,0.25,44.0,1.0,31.25,5.5,57.0,7,2006
244,Maria Elena Camerin,0.6666666666666666,43.666666666666664,2.6666666666666665,28.0,7.666666666666667,57.0,5,2006
245,Meghann Shaughnessy,3.0,41.0,4.333333333333333,29.666666666666668,6.0,59.0,12,2006
246,Eleni Daniilidou,1.0,45.0,4.5,26.5,7.5,60.0,3,2006
247,Marta Domachowska,,,,,,61.0,1,2006
248,Martina Sucha,0.0,33.0,1.0,21.0,8.0,62.0,6,2006
249,Mariana Diaz Oliva,,,,,,63.0,2,2006
250,Maria Sanchez Lorenzo,1.0,35.0,0.0,23.0,4.0,64.0,5,2006
251,Virginie Razzano,2.0,59.0,7.0,43.0,12.0,64.0,1,2006
252,Maret Ani,3.0,73.0,8.0,41.0,23.0,65.0,6,2006
253,Alona Bondarenko,0.5,33.0,1.0,22.5,4.5,65.0,7,2006
254,Elena Vesnina,0.5,42.5,6.0,26.0,7.5,67.0,4,2006
255,Akiko Morigami,2.5,40.0,1.5,25.0,8.0,69.0,3,2006
256,Emma Laine,1.0,59.0,3.0,38.0,13.0,71.0,1,2006
257,Tathiana Garbin,1.0,38.0,2.0,26.0,5.0,72.0,7,2006
258,Karolina Sprem,3.2,41.4,5.0,25.0,12.8,72.0,8,2006
259,Martina Muller,0.0,40.0,5.0,27.0,4.0,74.0,7,2006
260,Kaia Kanepi,5.0,23.5,3.5,18.0,4.0,75.0,9,2006
261,Lisa Raymond,3.0,45.0,6.0,27.0,9.0,75.0,1,2006
262,Jamea Jackson,0.0,31.0,2.5,20.0,5.5,75.0,4,2006
263,Romina Oprandi,,,,,,76.0,3,2006
264,Yuliana Fedak,1.0,35.0,1.0,25.0,5.0,77.0,2,2006
265,Ashley Harkleroad,1.0,29.0,2.0,21.0,3.0,79.0,2,2006
266,Tsvetana Pironkova,2.0,37.0,1.0,22.0,8.0,79.0,7,2006
267,Stephanie Foretz Gacon,,,,,,79.0,1,2006
268,Zi Yan,,,,,,79.0,3,2006
269,Laura Pous Tio,2.0,43.0,3.0,27.333333333333332,9.666666666666666,80.0,5,2006
270,Antonella Serra Zanetti,0.3333333333333333,54.0,6.0,33.0,9.666666666666666,81.0,3,2006
271,Virginia Ruano Pascual,1.75,47.25,1.5,29.25,8.75,82.0,4,2006
272,Melinda Czink,3.0,64.0,4.0,42.0,7.0,85.0,5,2006
273,Aravane Rezai,,,,,,91.0,1,2006
274,Shenay Perry,2.5,25.5,2.5,21.5,2.0,92.0,2,2006
275,Conchita Martinez Granados,1.0,64.0,2.0,42.0,12.0,95.0,1,2006
276,Zuzana Ondraskova,,,,,,96.0,1,2006
277,Mashona Washington,,,,,,97.0,1,2006
278,Emmanuelle Gagliardi,,,,,,98.0,1,2006
279,Kristina Brandi,,,,,,98.0,4,2006
280,Hana Sromova,1.0,47.0,0.0,26.0,7.0,99.0,1,2006
281,Jarmila Gajdosova,,,,,,100.0,1,2006
282,Justine Henin,2.923076923076923,35.23076923076923,4.769230769230769,24.23076923076923,6.538461538461538,1.0,14,2007
283,Maria Sharapova,2.75,53.25,6.5,33.25,8.75,2.0,7,2007
284,Amelie Mauresmo,3.8333333333333335,44.0,5.333333333333333,31.666666666666668,7.833333333333333,3.0,7,2007
285,Svetlana Kuznetsova,3.2857142857142856,43.785714285714285,2.357142857142857,29.071428571428573,6.714285714285714,3.0,16,2007
286,Jelena Jankovic,1.45,46.85,2.35,30.3,5.95,4.0,27,2007
287,Martina Hingis,1.0,63.0,10.0,39.0,11.0,7.0,1,2007
288,Nadia Petrova,3.875,38.25,2.125,28.625,3.875,7.0,9,2007
289,Ana Ivanovic,3.75,37.0625,3.0625,25.8125,5.1875,7.0,16,2007
290,Nicole Vaidisova,5.5,32.25,2.0,24.0,3.0,8.0,6,2007
291,Serena Williams,3.6666666666666665,37.333333333333336,2.1666666666666665,25.333333333333332,5.166666666666667,8.0,6,2007
292,Dinara Safina,2.9,38.6,3.5,25.9,5.4,9.0,13,2007
293,Anna Chakvetadze,2.5,46.5,1.875,28.125,7.25,9.0,9,2007
294,Elena Dementieva,0.8181818181818182,40.54545454545455,7.181818181818182,25.545454545454547,7.909090909090909,13.0,12,2007
295,Daniela Hantuchova,2.375,46.625,2.25,30.875,6.25,13.0,8,2007
296,Patty Schnyder,2.6666666666666665,40.166666666666664,1.0,27.5,4.833333333333333,15.0,15,2007
297,Shahar Peer,0.8,34.8,1.6,24.6,3.6,15.0,8,2007
298,Tatiana Golovin,1.75,39.5,2.5,27.125,5.75,18.0,11,2007
299,Na Li,0.8333333333333334,44.5,2.3333333333333335,28.333333333333332,6.0,18.0,6,2007
300,Katarina Srebotnik,2.625,55.875,2.125,34.125,10.0,20.0,8,2007
301,Vera Zvonareva,2.5,29.75,3.25,22.5,3.0,20.0,4,2007
302,Marion Bartoli,1.3636363636363635,42.18181818181818,2.4545454545454546,26.363636363636363,6.7272727272727275,21.0,14,2007
303,Venus Williams,2.0,37.583333333333336,4.75,26.916666666666668,4.75,22.0,12,2007
304,Tathiana Garbin,2.6,42.6,1.6,28.8,5.0,22.0,14,2007
305,Anabel Medina Garrigues,1.0714285714285714,44.357142857142854,1.0,28.857142857142858,7.0,23.0,17,2007
306,Francesca Schiavone,2.125,32.75,3.625,23.5,7.25,24.0,12,2007
307,Alona Bondarenko,1.75,48.166666666666664,1.8333333333333333,30.916666666666668,6.166666666666667,24.0,16,2007
308,Sybille Bammer,0.9,40.4,1.1,26.6,3.9,24.0,13,2007
309,Ai Sugiyama,2.3333333333333335,58.333333333333336,8.333333333333334,37.666666666666664,12.333333333333334,25.0,3,2007
310,Lucie Safarova,3.5714285714285716,38.42857142857143,4.285714285714286,27.714285714285715,7.0,25.0,10,2007
311,Samantha Stosur,4.5,52.5,1.3333333333333333,36.666666666666664,7.5,27.0,6,2007
312,Mara Santangelo,3.857142857142857,38.142857142857146,3.0,27.0,4.428571428571429,30.0,9,2007
313,Gisela Dulko,1.4,47.8,3.2,30.0,8.2,32.0,16,2007
314,Shuai Peng,2.4,40.2,1.2,25.8,7.0,33.0,5,2007
315,Agnieszka Radwanska,3.6666666666666665,42.333333333333336,1.3333333333333333,31.666666666666668,6.333333333333333,33.0,9,2007
316,Martina Muller,0.25,46.75,4.75,27.75,7.75,33.0,10,2007
317,Severine Beltrame,2.0,31.5,1.5,23.0,5.5,35.0,2,2007
318,Olga Puchkova,0.6666666666666666,59.333333333333336,9.333333333333334,34.333333333333336,8.333333333333334,35.0,3,2007
319,Emilie Loit,0.8571428571428571,41.57142857142857,2.857142857142857,26.857142857142858,6.857142857142857,37.0,15,2007
320,Agnes Szavay,0.5,23.5,2.0,17.0,5.0,37.0,9,2007
321,Jie Zheng,1.25,35.75,1.5,25.75,5.75,38.0,4,2007
322,Meilen Tu,1.5,51.666666666666664,6.166666666666667,31.166666666666668,10.833333333333334,39.0,6,2007
323,Flavia Pennetta,3.0,41.8,3.6,27.6,6.0,39.0,14,2007
324,Michaella Krajicek,2.857142857142857,44.142857142857146,5.857142857142857,32.857142857142854,5.571428571428571,39.0,8,2007
325,Nathalie Dechy,2.0,55.0,1.25,34.5,8.75,43.0,6,2007
326,Roberta Vinci,0.0,34.0,3.0,25.0,4.0,43.0,6,2007
327,Eleni Daniilidou,0.5,48.5,6.5,31.0,9.0,44.0,4,2007
328,Maria Kirilenko,1.0,32.0,2.0,24.0,5.0,44.0,1,2007
329,Nicole Pratt,0.5,60.0,2.5,37.0,11.0,45.0,2,2007
330,Anna Lena Groenefeld,2.0,45.0,6.0,30.0,11.0,45.0,3,2007
331,Kaia Kanepi,4.0,32.0,7.666666666666667,23.666666666666668,6.333333333333333,46.0,8,2007
332,Kateryna Bondarenko,3.6,45.8,5.4,33.8,6.2,47.0,5,2007
333,Meghann Shaughnessy,3.6,29.0,2.6,22.2,5.6,49.0,10,2007
334,Sania Mirza,3.0,27.0,1.0,21.0,2.0,50.0,1,2007
335,Lourdes Dominguez Lino,,,,,,51.0,14,2007
336,Julia Vakulenko,4.857142857142857,46.142857142857146,3.2857142857142856,30.428571428571427,8.142857142857142,53.0,7,2007
337,Vasilisa Bardina,0.0,54.0,2.0,35.0,5.0,55.0,1,2007
338,Victoria Azarenka,1.2857142857142858,39.0,3.0,25.571428571428573,5.285714285714286,55.0,8,2007
339,Elena Likhovtseva,1.5,72.0,6.5,42.0,17.0,56.0,2,2007
340,Karin Knapp,1.6,36.2,5.4,23.6,6.0,58.0,11,2007
341,Virginie Razzano,4.0,37.0,2.5,28.0,5.5,58.0,7,2007
342,Aravane Rezai,1.2,39.4,4.4,25.0,7.2,59.0,5,2007
343,Akiko Morigami,1.0,34.0,1.5,22.0,4.0,60.0,5,2007
344,Alicia Molik,12.0,74.0,2.0,52.0,15.0,60.0,1,2007
345,Romina Oprandi,4.0,30.0,2.0,24.0,3.0,62.0,1,2007
346,Elena Vesnina,2.0,42.666666666666664,4.333333333333333,28.666666666666668,7.666666666666667,67.0,3,2007
347,Alla Kudryavtseva,,,,,,67.0,2,2007
348,Tamarine Tanasugarn,1.5,49.5,4.0,28.0,14.5,68.0,2,2007
349,Milagros Sequera,1.0,98.0,6.0,53.0,21.0,69.0,1,2007
350,Yaroslava Shvedova,1.0,35.0,0.0,21.0,4.0,71.0,1,2007
351,Shenay Perry,5.0,37.0,2.0,22.0,9.0,71.0,1,2007
352,Eva Birnerova,2.0,56.0,5.0,40.0,12.0,71.0,1,2007
