,loser_name,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,loser_id,year
151,Silvia Farina Elia,0.0,63.0,2.0,33.0,15.0,19.0,12,2005
152,Dinara Safina,1.0,35.0,5.0,19.0,8.0,21.0,13,2005
153,Tatiana Golovin,1.5,36.5,8.0,23.0,13.0,22.0,15,2005
154,Amy Frazier,1.0,42.666666666666664,6.666666666666667,26.666666666666668,9.666666666666666,23.0,10,2005
155,Flavia Pennetta,3.0,50.0,7.0,28.5,14.5,23.0,12,2005
156,Anna Chakvetadze,1.0,40.0,4.0,22.5,10.0,24.0,12,2005
157,Shinobu Asagoe,0.0,33.0,1.0,19.0,9.0,25.0,16,2005
158,Magdalena Maleeva,0.0,52.0,5.0,25.0,13.0,25.0,12,2005
159,Maria Kirilenko,0.0,29.0,5.0,12.0,11.0,26.0,11,2005
160,Anabel Medina Garrigues,1.5,36.5,2.0,19.5,9.5,27.0,16,2005
161,Gisela Dulko,1.5,41.5,3.5,22.0,9.0,28.0,17,2005
162,Marion Bartoli,1.0,44.0,3.0,24.0,10.5,30.0,20,2005
163,Lisa Raymond,0.0,42.0,5.0,21.0,11.0,30.0,12,2005
164,Conchita Martinez,0.0,23.0,4.0,8.0,8.0,31.0,12,2005
165,Katarina Srebotnik,0.5,50.0,1.0,30.0,8.5,31.0,10,2005
166,Kveta Peschke,2.0,38.0,4.0,19.0,13.0,31.0,13,2005
167,Shuai Peng,2.0,51.0,3.0,28.0,13.0,31.0,9,2005
168,Sania Mirza,1.0,30.0,6.0,21.0,13.0,31.0,12,2005
169,Anna Smashnova,0.0,37.5,4.5,17.5,9.5,32.0,6,2005
170,Klara Koukalova,,,,,,33.0,11,2005
171,Eleni Daniilidou,0.0,32.0,8.0,14.5,9.0,34.0,12,2005
172,Iveta Benesova,,,,,,34.0,16,2005
173,Vera Dushevina,1.0,36.0,4.0,20.0,8.0,34.0,10,2005
174,Na Li,2.0,38.0,3.0,20.0,9.0,35.0,12,2005
175,Jelena Kostanic Tosic,1.0,33.0,6.0,16.0,7.0,35.0,10,2005
176,Sesil Karatantcheva,0.0,33.0,3.0,17.0,8.0,36.0,11,2005
177,Virginie Razzano,0.5,43.5,5.0,23.5,11.5,37.0,10,2005
178,Evgenia Linetskaya,1.5,45.5,4.5,22.5,14.5,37.0,9,2005
179,Nuria Llagostera Vives,5.0,66.0,15.0,40.0,18.0,39.0,15,2005
180,Meghann Shaughnessy,9.0,45.666666666666664,4.333333333333333,31.666666666666668,8.0,39.0,15,2005
181,Maria Elena Camerin,0.0,25.0,2.0,10.0,11.0,41.0,11,2005
182,Akiko Morigami,1.6666666666666667,34.0,3.6666666666666665,19.0,10.333333333333334,43.0,13,2005
183,Samantha Stosur,0.0,23.0,1.0,9.0,5.0,45.0,14,2005
184,Dally Randriantefy,1.0,29.0,3.0,13.5,9.5,45.0,10,2005
185,Emilie Loit,2.0,43.0,2.0,29.0,4.5,45.0,9,2005
186,Roberta Vinci,1.0,31.0,6.0,16.0,12.0,45.0,7,2005
187,Jie Zheng,0.5,53.5,1.5,29.5,13.5,46.0,12,2005
188,Shahar Peer,2.0,51.0,2.0,28.0,17.0,46.0,9,2005
189,Kristina Brandi,0.0,42.0,2.6666666666666665,21.0,10.0,47.0,14,2005
190,Jill Craybas,0.0,61.0,4.0,31.5,14.0,47.0,15,2005
191,Marta Domachowska,4.0,37.0,14.0,25.0,11.0,47.0,14,2005
192,Maria Vento Kabchi,0.5,41.5,5.0,17.5,13.5,48.0,14,2005
193,Marta Marrero,2.0,30.0,,18.0,9.0,48.0,5,2005
194,Denisa Chladkova,1.0,38.0,1.0,15.0,13.0,49.0,7,2005
195,Alina Jidkova,4.5,49.5,3.5,31.5,14.0,51.0,15,2005
196,Lucie Safarova,0.0,46.0,9.0,23.0,12.0,51.0,3,2005
197,Mashona Washington,4.666666666666667,67.66666666666667,5.666666666666667,44.0,10.666666666666666,52.0,14,2005
198,Nicole Pratt,,,,,,53.0,5,2005
199,Maria Sanchez Lorenzo,2.0,39.0,4.0,20.5,11.5,54.0,6,2005
200,Barbora Strycova,1.0,21.0,5.0,10.0,9.0,55.0,4,2005
201,Mariana Diaz Oliva,0.0,44.0,3.0,22.0,8.0,56.0,10,2005
202,Martina Sucha,1.0,41.333333333333336,2.6666666666666665,23.333333333333332,6.333333333333333,56.0,16,2005
203,Laura Granville,0.3333333333333333,43.333333333333336,3.0,25.666666666666668,9.666666666666666,58.0,12,2005
204,Tathiana Garbin,3.0,45.0,4.0,27.0,8.0,58.0,12,2005
205,Catalina Castano,4.0,47.0,3.0,25.0,11.0,60.0,5,2005
206,Claudine Schaul,0.0,17.0,8.0,7.0,10.0,61.0,6,2005
207,Virginia Ruano Pascual,,,,,,64.0,4,2005
208,Tamarine Tanasugarn,0.5,25.5,2.5,9.0,9.0,65.0,10,2005
209,Antonella Serra Zanetti,,,,,,66.0,10,2005
210,Aiko Nakamura,0.0,32.0,5.0,15.0,8.0,67.0,10,2005
211,Yoon Jeong Cho,0.0,41.0,5.0,21.0,8.0,67.0,4,2005
212,Michaella Krajicek,,,,,,68.0,2,2005
213,Shenay Perry,,,,,,69.0,2,2005
214,Abigail Spears,3.0,36.666666666666664,4.666666666666667,22.333333333333332,10.666666666666666,70.0,11,2005
215,Arantxa Parra Santonja,1.0,30.0,2.0,19.0,12.0,70.0,4,2005
216,Marlene Weingartner,0.0,43.0,7.0,25.0,10.0,70.0,5,2005
217,Ekaterina Bychkova,,,,,,70.0,6,2005
218,Marissa Irvin,,,,,,71.0,7,2005
219,Jamea Jackson,0.0,66.0,8.0,36.0,11.0,73.0,8,2005
220,Tatiana Panova,0.0,32.0,5.0,17.0,8.0,73.0,4,2005
221,Alona Bondarenko,1.0,82.0,1.0,48.0,12.0,74.0,6,2005
222,Laura Pous Tio,,,,,,74.0,4,2005
223,Sofia Arvidsson,,,,,,75.0,4,2005
224,Yuliana Fedak,0.0,35.0,3.0,17.0,11.0,76.0,6,2005
225,Zuzana Ondraskova,,,,,,79.0,4,2005
226,Tatiana Perebiynis,3.0,45.0,7.0,29.0,11.0,80.0,6,2005
227,Julia Schruff,0.0,30.0,4.0,17.0,7.0,81.0,5,2005
228,Ludmila Cervanova,3.0,54.0,0.0,29.0,9.0,82.0,3,2005
229,Sybille Bammer,2.0,63.0,5.0,33.0,13.0,83.0,5,2005
230,Petra Mandula,1.0,26.0,6.0,15.0,11.0,84.0,2,2005
231,Emma Laine,,,,,,84.0,3,2005
232,Anca Barna,3.0,40.0,2.0,23.0,7.0,84.0,3,2005
233,Aniko Kapros,,,,,,85.0,3,2005
234,Rika Fujiwara,0.0,25.0,1.0,10.0,9.0,85.0,6,2005
235,Mara Santangelo,1.0,59.5,4.5,35.0,12.0,85.0,7,2005
236,Lubomira Kurhajcova,2.0,36.0,5.0,16.0,8.0,86.0,3,2005
237,Lindsay Lee Waters,2.0,40.5,3.5,25.5,11.0,87.0,5,2005
238,Stephanie Cohen Aloro,0.0,39.0,4.0,19.0,14.0,88.0,4,2005
239,Stephanie Foretz Gacon,1.0,23.0,17.0,13.0,11.0,88.0,5,2005
240,Sandra Kloesel,,,,,,89.0,4,2005
241,Sanda Mamic,,,,,,89.0,5,2005
242,Severine Beltrame,1.0,19.0,3.0,7.0,6.0,92.0,5,2005
243,Anne Kremer,2.0,40.0,5.0,19.0,12.0,93.0,5,2005
244,Michaela Pastikova,2.6666666666666665,35.0,7.333333333333333,22.666666666666668,8.333333333333334,94.0,6,2005
245,Camille Pin,,,,,,95.0,1,2005
246,Anastasia Yakimova,,,,,,95.0,2,2005
247,Eva Birnerova,,,,,,95.0,1,2005
248,Barbara Schett,3.0,53.0,3.0,30.0,23.0,97.0,1,2005
249,Tsvetana Pironkova,,,,,,97.0,1,2005
250,Angela Haynes,,,,,,98.0,1,2005
251,Tian Tian Sun,,,,,,99.0,1,2005
252,Emmanuelle Gagliardi,,,,,,99.0,1,2005
253,Amelie Mauresmo,1.2857142857142858,44.57142857142857,2.4285714285714284,25.0,8.857142857142858,1.0,10,2006
254,Lindsay Davenport,2.6666666666666665,45.333333333333336,5.333333333333333,28.333333333333332,10.333333333333334,1.0,8,2006
255,Kim Clijsters,2.3333333333333335,48.833333333333336,4.666666666666667,30.5,8.0,1.0,8,2006
256,Justine Henin,4.0,35.4,3.6,24.8,7.0,2.0,5,2006
257,Maria Sharapova,2.2,49.6,2.8,27.2,13.0,2.0,5,2006
258,Svetlana Kuznetsova,1.8,38.0,2.6,21.9,9.6,4.0,11,2006
259,Elena Dementieva,0.8571428571428571,43.142857142857146,5.714285714285714,22.428571428571427,12.285714285714286,5.0,13,2006
260,Nadia Petrova,5.9,46.4,4.6,29.9,9.3,5.0,16,2006
261,Mary Pierce,4.0,45.0,1.5,28.166666666666668,7.333333333333333,5.0,7,2006
262,Patty Schnyder,3.875,48.625,2.125,28.5,9.625,7.0,15,2006
263,Martina Hingis,1.5,47.6,1.4,25.2,10.9,7.0,11,2006
264,Nicole Vaidisova,2.5,40.0,3.25,23.875,6.625,9.0,10,2006
265,Venus Williams,1.5,43.5,3.5,26.0,8.5,10.0,2,2006
266,Dinara Safina,2.0,37.7,3.7,20.9,10.2,10.0,12,2006
267,Francesca Schiavone,1.5,32.375,3.375,18.625,9.0,11.0,16,2006
268,Anastasia Myskina,0.875,44.5,2.375,23.0,12.5,11.0,11,2006
269,Jelena Jankovic,1.75,53.916666666666664,4.75,31.75,12.25,12.0,17,2006
270,Anna Chakvetadze,2.0,41.8,5.8,25.1,11.2,13.0,11,2006
271,Nathalie Dechy,2.1818181818181817,56.81818181818182,3.090909090909091,32.36363636363637,11.272727272727273,13.0,15,2006
272,Ana Ivanovic,2.4444444444444446,39.77777777777778,4.444444444444445,23.555555555555557,11.0,14.0,12,2006
273,Daniela Hantuchova,2.909090909090909,45.36363636363637,2.5454545454545454,28.818181818181817,9.636363636363637,14.0,18,2006
274,Serena Williams,6.0,50.5,3.5,34.5,11.0,15.0,2,2006
275,Elena Likhovtseva,1.1666666666666667,44.5,4.333333333333333,23.833333333333332,11.166666666666666,16.0,10,2006
276,Anna Lena Groenefeld,2.0,40.1,5.3,24.2,10.3,16.0,16,2006
277,Flavia Pennetta,3.0,22.75,4.25,12.25,4.75,17.0,8,2006
278,Marion Bartoli,1.25,46.416666666666664,2.6666666666666665,24.083333333333332,9.5,18.0,17,2006
279,Ai Sugiyama,0.8333333333333334,44.083333333333336,4.833333333333333,24.083333333333332,11.333333333333334,19.0,18,2006
280,Na Li,1.4444444444444444,48.22222222222222,3.2222222222222223,28.555555555555557,8.222222222222221,20.0,14,2006
281,Katarina Srebotnik,2.5,54.5,1.75,32.75,9.75,21.0,15,2006
282,Shahar Peer,0.6666666666666666,42.22222222222222,3.111111111111111,22.666666666666668,10.444444444444445,21.0,14,2006
