,winner_name,w_ace,w_1stIn,w_df,w_1stWon,w_bpFaced,winner_rank,matches_won,year,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,matches_lost,W/L%
156,Anna Smashnova,0.5,32.5,2.0,22.0,5.0,32.0,6,2005,0.0,37.5,4.5,17.5,9.5,32.0,6.0,0.5
157,Klara Koukalova,,,,,,33.0,16,2005,,,,,,33.0,11.0,0.5925925925925926
158,Vera Dushevina,3.3333333333333335,48.333333333333336,3.3333333333333335,31.0,7.0,34.0,12,2005,1.0,36.0,4.0,20.0,8.0,34.0,10.0,0.5454545454545454
159,Jelena Kostanic Tosic,2.0,54.0,5.0,35.0,7.0,35.0,4,2005,1.0,33.0,6.0,16.0,7.0,35.0,10.0,0.2857142857142857
160,Sesil Karatantcheva,2.5,51.0,7.5,34.0,12.5,36.0,9,2005,0.0,33.0,3.0,17.0,8.0,36.0,11.0,0.45
161,Iveta Benesova,,,,,,36.0,13,2005,,,,,,34.0,16.0,0.4482758620689655
162,Evgenia Linetskaya,2.0,28.666666666666668,2.3333333333333335,21.0,5.166666666666667,37.0,13,2005,1.5,45.5,4.5,22.5,14.5,37.0,9.0,0.5909090909090909
163,Virginie Razzano,0.0,56.0,6.0,37.0,10.0,38.0,4,2005,0.5,43.5,5.0,23.5,11.5,37.0,10.0,0.2857142857142857
164,Meghann Shaughnessy,11.5,32.5,2.5,28.0,2.0,41.0,9,2005,9.0,45.666666666666664,4.333333333333333,31.666666666666668,8.0,39.0,15.0,0.375
165,Na Li,1.0,66.0,4.0,37.0,7.0,41.0,21,2005,2.0,38.0,3.0,20.0,9.0,35.0,12.0,0.6363636363636364
166,Maria Elena Camerin,,,,,,41.0,5,2005,0.0,25.0,2.0,10.0,11.0,41.0,11.0,0.3125
167,Eleni Daniilidou,,,,,,42.0,7,2005,0.0,32.0,8.0,14.5,9.0,34.0,12.0,0.3684210526315789
168,Roberta Vinci,,,,,,45.0,6,2005,1.0,31.0,6.0,16.0,12.0,45.0,7.0,0.46153846153846156
169,Dally Randriantefy,,,,,,45.0,7,2005,1.0,29.0,3.0,13.5,9.5,45.0,10.0,0.4117647058823529
170,Jie Zheng,,,,,,46.0,22,2005,0.5,53.5,1.5,29.5,13.5,46.0,12.0,0.6470588235294118
171,Samantha Stosur,,,,,,47.0,15,2005,0.0,23.0,1.0,9.0,5.0,45.0,14.0,0.5172413793103449
172,Jill Craybas,1.0,59.0,5.0,34.0,11.0,48.0,10,2005,0.0,61.0,4.0,31.5,14.0,47.0,15.0,0.4
173,Shahar Peer,,,,,,48.0,9,2005,2.0,51.0,2.0,28.0,17.0,46.0,9.0,0.5
174,Marta Marrero,,,,,,48.0,1,2005,2.0,30.0,,18.0,9.0,48.0,5.0,0.16666666666666666
175,Maria Vento Kabchi,1.0,64.0,6.0,40.0,14.0,49.0,6,2005,0.5,41.5,5.0,17.5,13.5,48.0,14.0,0.3
176,Akiko Morigami,5.0,61.5,3.5,42.5,5.5,50.0,14,2005,1.6666666666666667,34.0,3.6666666666666665,19.0,10.333333333333334,43.0,13.0,0.5185185185185185
177,Denisa Chladkova,1.0,42.0,3.0,30.0,5.0,51.0,3,2005,1.0,38.0,1.0,15.0,13.0,49.0,7.0,0.3
178,Marta Domachowska,7.0,39.0,8.0,33.0,6.0,52.0,9,2005,4.0,37.0,14.0,25.0,11.0,47.0,14.0,0.391304347826087
179,Mashona Washington,,,,,,52.0,5,2005,4.666666666666667,67.66666666666667,5.666666666666667,44.0,10.666666666666666,52.0,14.0,0.2631578947368421
180,Alina Jidkova,,,,,,54.0,5,2005,4.5,49.5,3.5,31.5,14.0,51.0,15.0,0.25
181,Nuria Llagostera Vives,,,,,,54.0,9,2005,5.0,66.0,15.0,40.0,18.0,39.0,15.0,0.375
182,Lucie Safarova,,,,,,55.0,5,2005,0.0,46.0,9.0,23.0,12.0,51.0,3.0,0.625
183,Mariana Diaz Oliva,,,,,,56.0,7,2005,0.0,44.0,3.0,22.0,8.0,56.0,10.0,0.4117647058823529
184,Martina Sucha,1.0,70.0,4.5,37.5,18.0,56.0,11,2005,1.0,41.333333333333336,2.6666666666666665,23.333333333333332,6.333333333333333,56.0,16.0,0.4074074074074074
