,winner_name,w_ace,w_1stIn%,w_df,w_1stWon,w_bpFaced,winner_rank,winner_id,year
133,Lars Burgsmuller,10.0,0.582089552238806,4.0,33.0,2.0,91.0,1,2005
134,Paul Goldstein,1.0,0.6981837606837606,2.6666666666666665,42.666666666666664,7.666666666666667,92.0,3,2005
135,Alessio Di Mauro,15.0,0.5333333333333333,5.0,46.0,4.0,93.0,1,2005
136,Jonas Bjorkman,6.0,0.6434108527131783,4.5,44.0,6.5,94.0,3,2005
137,Jean Rene Lisnard,5.0,0.6,3.0,24.0,4.0,98.0,1,2005
138,Ivo Minar,11.0,0.65,1.0,50.0,4.0,99.0,1,2005
139,Roger Federer,10.333333333333334,0.6598170184486204,0.9166666666666666,44.833333333333336,2.5833333333333335,1.0,12,2006
140,Rafael Nadal,6.375,0.706105083367744,1.625,54.875,4.125,2.0,8,2006
141,David Nalbandian,2.5,0.6098449612403101,3.5,40.5,4.0,3.0,2,2006
142,Andy Roddick,14.4,0.704357981498798,0.4,45.0,3.0,4.0,7,2006
143,Ivan Ljubicic,24.0,0.6434096973826151,5.666666666666667,59.666666666666664,3.0,4.0,3,2006
144,James Blake,7.666666666666667,0.6011865554782708,3.6666666666666665,38.333333333333336,7.666666666666667,7.0,6,2006
145,Tommy Robredo,3.5,0.7108503549181515,2.0,48.0,5.0,8.0,2,2006
146,Lleyton Hewitt,10.222222222222221,0.5858241933750129,3.111111111111111,39.666666666666664,5.555555555555555,9.0,9,2006
147,Mario Ancic,17.333333333333332,0.6185519070558657,4.111111111111111,49.77777777777778,3.7777777777777777,10.0,9,2006
148,Fernando Gonzalez,11.5,0.6095204858540054,3.75,51.25,4.75,11.0,5,2006
149,Gaston Gaudio,9.0,0.6690140845070423,5.0,62.0,23.0,12.0,1,2006
150,Radek Stepanek,17.5,0.6543102606462314,5.75,69.25,8.75,13.0,4,2006
151,Tomas Berdych,12.142857142857142,0.6160371413756393,2.857142857142857,48.285714285714285,5.285714285714286,14.0,7,2006
152,Marcos Baghdatis,9.5,0.5490970951631973,2.25,41.75,5.375,16.0,8,2006
153,Robby Ginepri,7.5,0.6511695906432748,1.0,39.5,6.0,16.0,2,2006
154,Jarkko Nieminen,5.8,0.6198760903666564,2.8,49.6,4.8,18.0,5,2006
155,David Ferrer,5.0,0.6662384259259259,5.333333333333333,53.0,6.333333333333333,19.0,3,2006
156,Andre Agassi,13.0,0.6075206611570247,4.0,48.5,6.5,20.0,2,2006
157,Dominik Hrbaty,3.0,0.4523809523809524,1.0,16.0,1.0,22.0,1,2006
158,Gael Monfils,9.333333333333334,0.6407470313271202,3.0,32.666666666666664,1.6666666666666667,23.0,3,2006
159,Tommy Haas,10.0,0.6178168607654648,3.4,36.2,1.4,24.0,5,2006
160,Sebastien Grosjean,8.0,0.6087116124988808,4.0,41.0,5.333333333333333,25.0,3,2006
161,Juan Carlos Ferrero,5.0,0.665222068904842,1.5,42.75,6.5,28.0,4,2006
162,Olivier Rochus,3.25,0.6309504037091326,3.5,38.75,6.25,29.0,4,2006
163,Fernando Verdasco,6.6,0.7217492193817678,3.2,59.4,8.4,30.0,5,2006
164,Dmitry Tursunov,10.833333333333334,0.5618090630127397,4.666666666666667,40.666666666666664,3.6666666666666665,31.0,6,2006
165,Kristof Vliegen,9.4,0.6927733770861852,2.4,39.6,3.4,34.0,5,2006
166,Paradorn Srichaphan,11.333333333333334,0.6023786912675801,1.6666666666666667,35.333333333333336,2.0,35.0,3,2006
167,Andy Murray,4.375,0.592235729520542,1.625,32.25,6.375,35.0,9,2006
168,Novak Djokovic,6.75,0.6184691732494993,4.75,51.75,4.75,39.0,4,2006
169,Mikhail Youzhny,6.5,0.6590296495956873,1.5,28.0,3.5,41.0,2,2006
170,Xavier Malisse,10.0,0.6931818181818182,0.0,44.0,6.0,43.0,1,2006
171,Fabrice Santoro,4.8,0.6258362569816722,1.4,35.2,2.8,44.0,5,2006
172,Florent Serra,4.0,0.575669578770354,2.0,36.0,6.333333333333333,46.0,3,2006
173,Max Mirnyi,16.5,0.6760719497316318,2.8333333333333335,56.666666666666664,5.666666666666667,46.0,6,2006
174,Gilles Simon,6.5,0.4737507906388362,3.0,26.0,7.5,47.0,2,2006
175,Robin Soderling,9.4,0.6577462686567165,2.0,41.6,4.0,48.0,5,2006
176,Feliciano Lopez,11.0,0.572319909245604,3.5,30.0,1.5,49.0,2,2006
177,Richard Gasquet,5.166666666666667,0.6918973482766586,1.5,33.333333333333336,2.3333333333333335,51.0,6,2006
178,Alberto Martin,10.0,0.6363636363636364,2.0,41.0,0.0,51.0,1,2006
179,Daniele Bracciali,16.25,0.5358222322437459,0.75,40.5,4.25,53.0,4,2006
180,Julien Benneteau,6.5,0.7092290770922908,5.0,56.5,8.0,55.0,2,2006
181,Arnaud Clement,6.0,0.7534937888198758,0.5,37.5,4.0,57.0,2,2006
182,Agustin Calleri,12.0,0.62,6.0,79.0,2.0,58.0,1,2006
183,Jonas Bjorkman,5.666666666666667,0.6575662371631943,2.6666666666666665,47.55555555555556,5.888888888888889,59.0,9,2006
184,Florian Mayer,6.0,0.691430645865995,1.0,42.0,6.0,63.0,3,2006
185,Paul Goldstein,1.0,0.7021276595744681,1.0,29.0,1.0,63.0,1,2006
186,Tim Henman,5.6,0.6076166072489602,3.0,33.0,4.6,64.0,5,2006
187,Stan Wawrinka,10.5,0.5589551161783808,8.5,64.0,8.0,67.0,2,2006
188,Andreas Seppi,4.6,0.5733210843056772,3.0,40.6,6.8,68.0,5,2006
189,Davide Sanguinetti,11.0,0.6363636363636364,1.0,52.0,7.0,69.0,1,2006
190,Mardy Fish,11.8,0.5375954708877057,3.0,26.2,2.2,70.0,5,2006
191,Vincent Spadea,2.0,0.6024096385542169,1.0,39.0,8.0,74.0,1,2006
192,Nicolas Mahut,14.0,0.6739413320883909,4.0,46.2,3.8,76.0,5,2006
193,Jurgen Melzer,10.25,0.5437312220204696,4.5,25.75,3.75,78.0,4,2006
194,Andrei Pavel,7.5,0.5945736434108527,3.0,42.5,9.0,79.0,2,2006
195,Lukas Dlouhy,9.0,0.6846153846153846,7.0,66.0,9.0,84.0,1,2006
196,Marat Safin,9.0,0.5992520138089759,0.5,37.0,1.5,87.0,2,2006
197,Philipp Kohlschreiber,10.0,0.5718695018547959,4.0,40.0,4.25,88.0,4,2006
198,Jiri Vanek,11.0,0.7894736842105263,2.0,35.0,3.0,91.0,1,2006
199,Guillermo Garcia Lopez,10.0,0.625,4.0,66.0,21.0,91.0,1,2006
200,Raemon Sluiter,10.0,0.547945205479452,8.0,34.0,5.0,92.0,1,2006
201,Igor Kunitsyn,3.0,0.5166666666666667,2.0,24.0,2.0,93.0,1,2006
202,Justin Gimelstob,17.0,0.5350118566048263,2.0,40.0,3.5,93.0,2,2006
203,Jimmy Wang,4.0,0.589546748932131,1.3333333333333333,31.333333333333332,5.666666666666667,94.0,3,2006
204,Danai Udomchoke,13.0,0.7647058823529411,2.0,50.0,3.0,95.0,1,2006
205,Roger Federer,14.166666666666666,0.644422152854958,1.0,50.833333333333336,4.0,1.0,7,2007
206,Rafael Nadal,5.25,0.6763620879410767,1.75,46.375,3.875,2.0,8,2007
207,Andy Roddick,15.555555555555555,0.6965220934121059,1.1111111111111112,49.22222222222222,2.6666666666666665,3.0,9,2007
208,Nikolay Davydenko,7.5,0.6736449526083672,5.25,57.75,6.25,3.0,4,2007
209,Novak Djokovic,10.0,0.6774612323969239,2.8333333333333335,66.0,5.833333333333333,4.0,6,2007
210,Fernando Gonzalez,10.75,0.6414011312448813,3.25,49.0,3.75,6.0,4,2007
211,Tommy Robredo,9.0,0.694436077643909,0.6666666666666666,55.333333333333336,3.0,7.0,3,2007
212,James Blake,11.25,0.6027249536178108,3.5,37.75,6.75,8.0,4,2007
213,Tommy Haas,11.666666666666666,0.6396078431372549,4.666666666666667,48.333333333333336,5.666666666666667,10.0,3,2007
214,Tomas Berdych,12.625,0.587456346939639,3.125,44.125,4.0,11.0,9,2007
215,Ivan Ljubicic,16.75,0.6668142695153078,2.625,47.0,4.625,12.0,8,2007
216,Richard Gasquet,8.857142857142858,0.6540939187492721,2.142857142857143,44.285714285714285,3.142857142857143,12.0,7,2007
217,Mikhail Youzhny,5.0,0.6231866646916814,2.4,44.6,6.4,13.0,5,2007
218,David Ferrer,1.0,0.691358024691358,1.0,42.0,3.0,15.0,1,2007
219,Marcos Baghdatis,7.875,0.5593178282511133,1.75,38.125,3.5,16.0,8,2007
220,Guillermo Canas,7.666666666666667,0.6491324984475669,2.3333333333333335,48.0,5.666666666666667,17.0,3,2007
221,Andy Murray,,,,,,18.0,2,2007
222,Juan Carlos Ferrero,14.25,0.6916209322954341,3.0,65.5,7.25,18.0,4,2007
223,Lleyton Hewitt,9.333333333333334,0.594191847661775,1.6666666666666667,39.0,4.666666666666667,19.0,3,2007
224,Juan Ignacio Chela,14.0,0.5688622754491018,6.0,67.0,10.0,20.0,1,2007
225,Jarkko Nieminen,4.4,0.6676662464428421,2.4,39.4,5.0,21.0,5,2007
226,Dmitry Tursunov,9.125,0.5966359597941979,3.625,41.375,5.625,23.0,8,2007
