,winner_name,w_ace,w_1stIn%,w_df,w_1stWon,w_bpFaced,winner_rank,winner_id,year
1880,Philipp Kohlschreiber,7.0,0.6004971002485502,1.0,36.0,6.0,79.0,2,2020
1881,Stefano Travaglia,11.0,0.5670970266040689,0.5,29.5,2.0,82.0,2,2020
1882,Salvatore Caruso,8.2,0.49205231970480917,5.0,41.2,10.8,82.0,5,2020
1883,Radu Albot,1.8333333333333333,0.6571236906311712,3.1666666666666665,38.166666666666664,6.333333333333333,82.0,6,2020
1884,Andreas Seppi,5.5,0.6432160157153274,1.5,36.5,5.5,84.0,6,2020
1885,Gregoire Barrere,10.75,0.6265035947129124,4.5,52.75,9.0,84.0,4,2020
1886,Dennis Novak,3.0,0.6402694756140604,1.0,26.6,4.0,85.0,5,2020
1887,Thiago Monteiro,2.0,0.6451612903225806,1.0,29.0,2.0,86.0,1,2020
1888,Kevin Anderson,2.0,0.5714285714285714,0.0,7.0,0.0,86.0,1,2020
1889,Yuichi Sugita,4.0,0.6557835820895522,0.5,32.5,4.0,86.0,3,2020
1890,Lloyd Harris,11.727272727272727,0.6605112437599975,2.6363636363636362,38.54545454545455,3.909090909090909,90.0,11,2020
1891,Jaume Munar,2.0,0.6418918918918919,2.0,62.0,17.0,90.0,1,2020
1892,Marcos Giron,8.2,0.6413684266949071,2.0,50.2,9.0,91.0,5,2020
1893,Emil Ruusuvuori,6.6,0.639363842403253,4.4,37.0,4.0,92.0,5,2020
1894,Dominik Koepfer,3.0,0.6604878048780488,1.0,21.5,3.5,92.0,2,2020
1895,James Duckworth,11.0,0.6036141906873614,2.75,38.75,3.25,96.0,4,2020
1896,Alexei Popyrin,10.0,0.6640025990903184,4.0,44.0,4.0,96.0,2,2020
1897,Yasutaka Uchiyama,9.0,0.5584415584415584,6.0,35.0,4.0,99.0,1,2020
1898,Novak Djokovic,10.153846153846153,0.6571921273080487,2.6538461538461537,44.15384615384615,4.653846153846154,1.0,31,2021
1899,Daniil Medvedev,9.914893617021276,0.6425513755590416,3.1914893617021276,35.765957446808514,3.3404255319148937,2.0,51,2021
1900,Rafael Nadal,6.6,0.6591458092507084,2.2,41.2,4.4,2.0,5,2021
1901,Alexander Zverev,11.588235294117647,0.6999480528836546,2.735294117647059,39.411764705882355,3.264705882352941,3.0,42,2021
